provider_id,provider_name,specialty
1,David Robinson,Dermatology
2,Jessica Hopkins,Cardiology
3,Jessica Greene,Orthopedics
4,Christian Rowe,Cardiology
5,Teresa Lutz,Dermatology
6,Robert Sanders,Orthopedics
7,Rachel Galloway,Cardiology
8,Tracey Rice,Neurology
9,Scott Hall,Orthopedics
10,Jerry Harris,Pediatrics
11,Jason Alexander,Dermatology
12,Michele Ramirez,Neurology
13,Henry Pham,Pediatrics
14,Jason Mueller,Pediatrics
15,Benjamin Pollard,Dermatology
16,Brian Wong,Cardiology
17,Latasha Ruiz,Dermatology
18,John Nichols,Neurology
19,Margaret Campos,Neurology
20,Gregory Garza,Pediatrics
21,Donna Wright,Pediatrics
22,Christopher Wallace,Orthopedics
23,Martha Quinn,Dermatology
24,Casey Wood,Cardiology
25,Jessica Ward,Pediatrics
